name,r1,r2,n_members,members,missing_arms_10k,reason
ac19_1886,YXXyx,YYXXYxYXyyXyx,3,2492 47163 146684,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_18865,YXYXYx,YYXXyXYYxxxyX,1,24974,s20_f4,incomplete_all_existing_solved
ac19_18885,YXXyx,YYXXyXyyXXyXYX,1,25008,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_18890,YXXYx,YYYXYxYXyyyXyx,4,25015 89127 104866 144020,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",never_10k
ac19_18900,YXYXYx,YYXyxYxYXXXYx,1,25026,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_18905,YXXyx,YYYXyyxxYXXXyx,1,25031,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_1891,YYXXYx,YYxxyXXyxxyXX,1,2497,s20_f4,incomplete_all_existing_solved
ac19_1892,YXXXyxx,YYXyxyXXYx,3,2498 3608 140659,"baseline,s20_mk2_mK2",incomplete_all_existing_solved
ac19_1894,YXyXXyX,YYYxyxxxyx,3,2500 69514 80318,baseline,incomplete_all_existing_solved
ac19_18951,YXXXXYx,YYXyyXYx,9,25111 57649 58993 97929 98663 114809 134325 135022 139859,baseline,incomplete_all_existing_solved
ac19_18956,YXX,YYYxyXyyxYxyyx,1,25125,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",never_10k
ac19_18959,YYXXXXyX,YYXXYXyyX,2,25131 61277,s20_mk2_mK2,incomplete_all_existing_solved
ac19_1896,YXXyx,YYXYXXyxyyxYx,3,2502 32641 33838,"baseline,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_18970,YYXXYXXyX,YYXXXYXyyx,1,25148,s20_mk2_mK2,incomplete_all_existing_solved
ac19_18985,YXYXyx,YYXYxyXXXyxYx,1,25170,baseline,incomplete_all_existing_solved
ac19_19,YXXyx,YYXYxyyx,84,76 128 706 1020 8017 8306 9974 10472 12723 20318 20652 24580 25982 29342 30500 31344 33600 34019 34703 36918 36959 41172 43348 46036 49033 50310 52896 58260 58290 59402 65301 66821 68104 68128 68387 69682 75795 76324 76354 80916 83146 83547 84771 86367 88483 90323 91511 92805 95005 96925 105970 107022 107470 109025 109176 110221 110298 110369 111150 117913 120301 121767 122314 124624 124684 125887 127010 127399 130827 134489 134692 134870 135756 135789 136606 141318 142268 144890 145540 146795 146932 147523 151930 156296,"baseline,s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_19000,YXX,YYXyXyxYxyx,3,25195 126908 129144,s20_mk2_mK2,incomplete_all_existing_solved
ac19_19005,YXXyx,YYYXyyxyxYxxx,1,25205,s20_mk2_mK2,incomplete_all_existing_solved
ac19_19036,YXXyx,YYXXYxYxxyyxyX,1,25255,s20_f4,incomplete_all_existing_solved
ac19_19041,YYXXyx,YYYYxxyyXXX,1,25261,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_19054,YXXyx,YYYYXyXyXYxyyX,2,25279 28594,s20_mk2,incomplete_all_existing_solved
ac19_19070,YXXYx,YYXyyXXYxYxyx,2,25301 107427,s20_f4,incomplete_all_existing_solved
ac19_19071,YXXXXX,YYXXXXyyXYx,1,25302,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_19082,YYXXX,YYXyXYxYXyXyx,3,25315 128889 142653,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_1909,YXyXXyx,YYYxyxyxxYx,3,2517 93240 150550,s20_mk2_mK2,incomplete_all_existing_solved
ac19_1911,YYXXyx,YYYYxyyXX,21,2519 18739 25841 26261 26923 38103 44343 48918 53458 60535 64377 68857 75885 102035 105269 121247 122336 122509 133050 146685 153992,s20_mk2,incomplete_all_existing_solved
ac19_19151,YXXYx,YYYXXYXyyxyx,5,25419 38627 42987 50195 128777,s20_f4,incomplete_all_existing_solved
ac19_19162,YYXXXyxx,YYYXXyxxYXX,1,25436,s20_mk2,incomplete_all_existing_solved
ac19_19172,YXXyx,YYXYxyyxYXyx,8,25456 26747 47819 95521 100599 112490 142941 152530,s20_mk2,incomplete_all_existing_solved
ac19_19191,YXXyx,YYXyXyxxxxxxYX,1,25482,s20_f4,incomplete_all_existing_solved
ac19_192,YXyXYxx,YYYYXyxx,22,716 1395 7402 10914 11480 14801 16046 28912 30478 30604 35759 68023 71900 75108 85556 92990 101636 128533 141955 144389 153958 155186,baseline,incomplete_all_existing_solved
ac19_1921,YXYxYXXYx,YYXyxyXyxyXYx,3,2529 10597 26342,baseline,incomplete_all_existing_solved
ac19_19221,YXXyx,YYYYXXXyXyXyxx,1,25533,s20_mk2_mK2,incomplete_all_existing_solved
ac19_19222,YXXyx,YYXXyyXXXYxx,3,25534 50726 155320,"baseline,s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_19252,YXXYx,YYXYYxYXXXyxyx,1,25581,s20_mk2,incomplete_all_existing_solved
ac19_19260,YXYXyx,YYXYxyXXXXXyxYxxx,1,25590,s20_mk2,incomplete_all_existing_solved
ac19_19272,YXX,YYYXyXYYXXyyx,1,25605,baseline,incomplete_all_existing_solved
ac19_19276,YXXyx,YYYXYYxyxyXyyx,12,25610 30842 38380 42618 58798 65336 68471 72058 84298 92617 142327 151781,baseline,incomplete_all_existing_solved
ac19_19281,YXX,YYYYxyXyyyx,11,25619 32045 34952 41507 42004 45411 58527 81953 97786 101287 141287,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_19284,YXYXX,YYxYXyXyXyxyxxx,2,25622 143846,s20_f4,incomplete_all_existing_solved
ac19_19289,YXXyx,YYXYxxyyxyXyxx,1,25636,baseline,incomplete_all_existing_solved
ac19_19292,YXXyx,YYXyxYxYXyxxyx,1,25639,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_19294,YXXyXyx,YYXyxxxyXYxx,2,25643 98310,s20_f4,incomplete_all_existing_solved
ac19_1930,YXyXXyX,YYXXXyXyyxyXYX,1,2539,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_19364,YYXXyXXYx,YYXYXyXyxx,2,25764 116995,s20_mk2,incomplete_all_existing_solved
ac19_19446,YXXyx,YYXXyyXXXYx,5,25894 26324 63489 115482 134594,s20_f4,incomplete_all_existing_solved
ac19_19470,YXXYx,YYYXYxYXYXXXYx,1,25929,baseline,incomplete_all_existing_solved
ac19_19474,YXXYx,YYYYXyxxyyxyyX,3,25936 77450 115270,s20_mk2,incomplete_all_existing_solved
ac19_19506,YYXXX,YYYYXYYXyXXyyX,1,25985,baseline,incomplete_all_existing_solved
ac19_19514,YXXyx,YYXYYXXXyxyyX,3,25997 31249 60402,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_19529,YXXyx,YYYXYYXyXyyxyX,9,26013 43019 51090 84710 89281 132023 140573 150600 154801,s20_f4,incomplete_all_existing_solved
ac19_19534,YXXYXXX,YYYYXXYXXXXyXyX,1,26020,baseline,incomplete_all_existing_solved
ac19_19561,YYXXYx,YYYYYYXyxxyXX,1,26070,"baseline,s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_19566,YYXXX,YYXYxyXyXyXYx,3,26078 93215 132918,s20_f4,incomplete_all_existing_solved
ac19_19609,YXYXyx,YYXYxYXyyXyxx,1,26144,s20_mk2,incomplete_all_existing_solved
ac19_19640,YXXyx,YYXXXyXXXYXyxx,1,26194,s20_f4,incomplete_all_existing_solved
ac19_19662,YXYXX,YYYxxyxyXXXyyx,1,26230,s20_mk2_mK2,incomplete_all_existing_solved
ac19_1969,YXXXyxx,YYXXXXXXyX,8,2579 13207 29449 47656 58579 71326 101628 139382,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",never_10k
ac19_19694,YXXyx,YYYXyXYXyyyXYX,2,26280 133108,baseline,incomplete_all_existing_solved
ac19_19701,YYXXYXX,YYXyxYYXXyyx,1,26290,s20_f4,incomplete_all_existing_solved
ac19_19724,YXXXYxYx,YYXYxxxyXyX,3,26330 73288 143452,baseline,incomplete_all_existing_solved
ac19_19739,YXXYx,YYYXXYxxYXyxyX,1,26350,"baseline,s20_f4",incomplete_all_existing_solved
ac19_19752,YXyXXyx,YYXYxYxxxxyyx,2,26365 155085,s20_mk2,incomplete_all_existing_solved
ac19_19759,YXyXXyX,YYXYxyXyxyX,5,26379 55804 61148 84898 119154,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_19777,YXyXYxx,YYYYXXyx,14,26410 54915 55098 64890 65809 68244 84277 93444 118260 123570 133173 136599 141081 147447,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_1979,YXXyx,YYXYXyyXXYxxyX,1,2589,baseline,incomplete_all_existing_solved
ac19_1980,YXXyx,YYXXYXyXXyXX,7,2590 8901 19466 59121 98360 118713 148512,s20_f4,incomplete_all_existing_solved
ac19_19801,YYXXX,YXXyXXXYxxyxYx,1,26443,"baseline,s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_19812,YXYXYx,YYXXXyXyxYxxx,3,26459 35712 50667,baseline,incomplete_all_existing_solved
ac19_19869,YXXyx,YYXyXyxxxxxyxx,1,26538,s20_f4,incomplete_all_existing_solved
ac19_19879,YYXXX,YYYYXXXXyXYXYX,1,26551,s20_f4,incomplete_all_existing_solved
ac19_19886,YXYXyx,YYXYXyXXyXYYx,1,26565,baseline,incomplete_all_existing_solved
ac19_19894,YXYXXYx,YXyXyxxYxYXX,3,26578 44221 108970,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_19901,YXXyx,YYYXXXyyXXXyyX,1,26586,s20_f4,incomplete_all_existing_solved
ac19_19905,YXYXyx,YYXYxyyXyXXyxxx,2,26593 132329,baseline,incomplete_all_existing_solved
ac19_19906,YXXyx,YYXYXXyxyyxxYx,1,26595,baseline,incomplete_all_existing_solved
ac19_19981,YXYXX,YYXyXyXXyxxYYx,1,26714,s20_mk2_mK2,incomplete_all_existing_solved
ac19_20,YXXyx,YYXYxyyX,78,77 145 752 4373 9948 12595 13009 14117 22895 26793 29938 30359 30525 30767 36541 36624 39257 40156 43040 45303 46069 46586 46953 47495 49141 50389 54727 56956 57078 58715 58944 60344 62092 64734 65841 66139 67294 69699 70505 70515 70847 71678 72280 83113 91379 94429 95587 95807 101966 102545 102961 103891 104010 114526 120032 124798 127168 129266 129673 129950 131116 131971 136240 136613 136739 137809 139100 140804 140805 144556 146086 147189 148696 149587 152336 155578 156297 156749,"baseline,s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_200,YXXyx,YYXYxyXXXyXXX,4,724 28161 48498 61303,s20_mk2_mK2,incomplete_all_existing_solved
ac19_2009,YXXyx,YYXXYXyXyXX,10,2620 6013 19885 58239 64213 93984 124927 140843 142591 153081,s20_f4,incomplete_all_existing_solved
ac19_20104,YXXXX,YYYXyyXYXyxyx,1,26901,s20_mk2_mK2,incomplete_all_existing_solved
ac19_20110,YXXYx,YYXXyxyXYxYxyX,1,26916,s20_mk2_mK2,incomplete_all_existing_solved
ac19_20114,YYXXYx,YYXXyyXYYxx,2,26921 31561,s20_mk2_mK2,incomplete_all_existing_solved
ac19_2014,YXXyx,YYXyxYXXXXXyxx,1,2625,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_20149,YXyXXyX,YYXYXXyyXyyx,1,26982,s20_f4,incomplete_all_existing_solved
ac19_20159,YXYXyx,YYYYYxYXyXXyX,3,26996 62697 93804,s20_mk2,incomplete_all_existing_solved
ac19_20164,YXYxyx,YYYXYxYxyxYxx,1,27004,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_20170,YYXXYxxyx,YYxxyxYXyX,1,27016,s20_f4,incomplete_all_existing_solved
ac19_20189,YXYXX,YYXXXXXyXYYxx,2,27045 123044,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_2019,YXXyx,YYXXyXyXYXXXXX,1,2632,s20_mk2,incomplete_all_existing_solved
ac19_20194,YYXXXyx,YYXXyyxxx,4,27052 30105 83662 134797,s20_mk2_mK2,incomplete_all_existing_solved
ac19_20199,YXXyx,YYXXyyXYXYXyx,3,27060 41904 135143,s20_mk2_mK2,incomplete_all_existing_solved
ac19_2020,YXXYx,YYXXXXXYxyxYxx,1,2633,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_20204,YXXYx,YYXXyxxxxyyXX,2,27069 114205,"baseline,s20_mk2_mK2",incomplete_all_existing_solved
ac19_20207,YXYXYx,YYYXXyyXyxYYx,5,27073 66901 96237 124950 141747,s20_mk2,incomplete_all_existing_solved
ac19_2022,YXXyx,YYXXyyXXXXXyX,2,2635 148697,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_20237,YYXXyxx,YYYYYXXXyxx,1,27125,s20_f4,incomplete_all_existing_solved
ac19_2027,YXXyx,YYXYxxyyx,14,2640 18405 37734 58947 68304 73062 113274 114715 115153 119099 128241 132415 140995 142172,baseline,incomplete_all_existing_solved
ac19_20289,YXX,YYXYXYXyXyXyXYx,1,27208,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_20309,YYXXXYX,YYXyxxxyyX,4,27236 69952 89649 109561,s20_mk2_mK2,incomplete_all_existing_solved
ac19_20310,YXXyxYx,YYXYXYxYYxYX,1,27237,baseline,incomplete_all_existing_solved
ac19_20314,YXXyXYx,YYXYXXyXyxyxx,1,27241,s20_f4,incomplete_all_existing_solved
ac19_20324,YXXYXXyX,YYXXyXyXXYX,2,27257 79591,s20_mk2,incomplete_all_existing_solved
ac19_20330,YXXXyxx,YYXyyXXYXX,4,27266 42083 98950 117774,baseline,incomplete_all_existing_solved
ac19_20335,YXYXYx,YYYXXYxxyXXYx,1,27275,s20_f4,incomplete_all_existing_solved
ac19_20340,X,YYYXyyxxyyX,1,27283,baseline,incomplete_all_existing_solved
ac19_20350,YXYXXYx,YYYxYXXyXYX,3,27298 35169 75303,baseline,incomplete_all_existing_solved
ac19_20365,YXXyx,YYYXXXyyyXXyX,1,27317,baseline,incomplete_all_existing_solved
ac19_20399,YYXXyx,YYXXXyxxx,6,27367 45374 82457 107736 127314 132056,s20_mk2_mK2,incomplete_all_existing_solved
ac19_20457,YXXYx,YYYYXXXYYXYx,2,27466 36256,s20_f4,incomplete_all_existing_solved
ac19_20490,YYXXX,YYYYXXyXyxxyX,1,27518,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_20500,YXXyx,YYYXyxxyXXYxyx,1,27530,s20_f4,incomplete_all_existing_solved
ac19_20505,YXXyx,YYYXXyxxxyxx,3,27537 69005 92181,"baseline,s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_20515,YYXXXYx,YYXYYXXXYx,2,27555 55819,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_20517,YXYXyx,YYYXXXyxyXXXYxx,1,27557,s20_mk2_mK2,incomplete_all_existing_solved
ac19_20520,YXXyx,YYXXyXyxyXXXXX,1,27560,baseline,incomplete_all_existing_solved
ac19_20524,YXXyx,YYYXXyxyxyXXYx,1,27566,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_20526,YXyXXyX,YYXyxYXXyyx,3,27568 115455 137279,baseline,incomplete_all_existing_solved
ac19_20542,YXXyx,YYYXyyxyxxxYX,5,27592 28722 44851 86683 127863,s20_mk2_mK2,incomplete_all_existing_solved
ac19_20556,YXXXyxx,YYXXyXYxxyxx,1,27619,s20_mk2,incomplete_all_existing_solved
ac19_20557,YXXyx,YYXyyxYxyxxYx,4,27621 60424 87443 106128,s20_f4,incomplete_all_existing_solved
ac19_20576,YYXXyx,YYXYXyxYYXyXX,1,27650,"baseline,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_20580,YXYXX,YYXyXXXXyxYxxx,1,27655,s20_f4,incomplete_all_existing_solved
ac19_20582,YXyXYxx,YYYYYXXyx,5,27658 36238 51056 117033 117534,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_20590,YXyxYXXyx,YYXXyxYXyXXXX,2,27666 85377,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_20595,YXXyx,YYYXyXXXYxyyXX,1,27672,s20_mk2_mK2,incomplete_all_existing_solved
ac19_2060,YYXYYxyyx,YYXXXyxxx,1,2673,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_20601,YXXyx,YYXyXyxxyyxYxx,1,27688,s20_f4,incomplete_all_existing_solved
ac19_2061,YXXYx,YYXYXYXyXyxxYx,1,2674,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_20611,YXXyx,YYXyXYxYxyxxyx,1,27706,s20_mk2_mK2,incomplete_all_existing_solved
ac19_20619,YYXXyxx,YXXyXyxxxyx,2,27718 97127,baseline,incomplete_all_existing_solved
ac19_20629,YXXyXyX,YYxxxxYXyxyx,2,27731 45238,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_20630,YYXXYx,YYxxYXyXYXXYx,1,27732,s20_mk2,incomplete_all_existing_solved
ac19_20639,YYXXX,YYYXYYXyXXXXyx,1,27745,baseline,incomplete_all_existing_solved
ac19_20659,YYXXXyX,YYXXyXYxyXXX,3,27775 38287 121363,baseline,incomplete_all_existing_solved
ac19_2066,YXXYx,YYYXYXyXyxxyx,3,2679 34024 74618,s20_f4,incomplete_all_existing_solved
ac19_20664,YXXXX,YYYxyXXyXyx,1,27782,baseline,incomplete_all_existing_solved
ac19_20669,YXXyx,YYXyXYxyyXXYxx,1,27791,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_20671,YXyxYXXyx,YYXyyXYxyyx,1,27793,s20_mk2,incomplete_all_existing_solved
ac19_2071,YXXYxxyX,YYYXyXYXXYx,1,2684,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_20741,YXXyx,YYYXyxYxyxxxyx,1,27913,s20_mk2,incomplete_all_existing_solved
ac19_2076,YXYXyx,YYXyyxxYxYXyX,2,2691 91323,s20_mk2,incomplete_all_existing_solved
ac19_20774,YXyXXyx,YYXyxYXyXYxyxyx,1,27969,s20_mk2,incomplete_all_existing_solved
ac19_20801,YYXXXXyxxx,YYXYYXXXyxx,1,28006,s20_mk2_mK2,incomplete_all_existing_solved
ac19_20820,YXXYxxyx,YYYxYxxyX,4,28041 38069 44634 151625,s20_mk2_mK2,incomplete_all_existing_solved
ac19_20835,YXYXYx,YXXyXyXYxxyxx,3,28067 97830 121414,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_20837,YXXYx,YYYXYXYxyXXyx,2,28070 65632,s20_mk2,incomplete_all_existing_solved
ac19_20859,YXXyx,YYXyXXXYxyyXYX,1,28102,baseline,incomplete_all_existing_solved
ac19_20864,YXyXXyX,YYYXXyyxyxx,2,28110 101297,s20_mk2_mK2,incomplete_all_existing_solved
ac19_20869,YXYXYx,YYxxxYXXXyXyx,2,28118 71644,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_2087,YXXyXyX,YYXXXXyxyxx,3,2703 55835 114245,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_20884,YYXXXyxx,YYXyXYxyx,3,28137 79955 94351,s20_f4,incomplete_all_existing_solved
ac19_20885,YXXyx,YYYXyxYXyyxyyx,3,28139 96639 126966,"baseline,s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_20890,YXXYx,YYXYYXXyyxYx,4,28150 70012 118504 123004,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_20892,YXYXYx,YYXXXXyyxxYxx,1,28152,s20_mk2,incomplete_all_existing_solved
ac19_20944,YXyXYxx,YYYxxYXYXyx,3,28239 115264 135435,s20_mk2,incomplete_all_existing_solved
ac19_20947,YYXXyx,YYYYXXyXXXYYX,1,28244,s20_mk2_mK2,incomplete_all_existing_solved
ac19_20959,YXYXYx,YYxYXXyyXXYxx,1,28256,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_21,YXXyx,YYXyyxYx,56,78 149 1286 4699 5516 5633 14501 17370 22140 22995 23888 32718 43572 43638 47096 48767 51252 51453 58963 59123 66657 67267 68275 77577 80551 82223 87427 89327 90517 90751 98374 98770 99278 99878 101045 102829 104039 105613 107027 108146 109191 109514 109869 115582 116793 121233 128024 128259 131711 135574 136305 136952 142697 145364 153284 153834,baseline,incomplete_all_existing_solved
ac19_21012,YXYxyx,YYXyxYxxYXYxx,1,28341,s20_f4,incomplete_all_existing_solved
ac19_21017,YYXXYx,YYYYYxYXXXXYx,1,28347,baseline,incomplete_all_existing_solved
ac19_21089,YYXXX,YYXyXXXYxxxyX,2,28462 130312,s20_f4,incomplete_all_existing_solved
ac19_21106,YXYXYx,YYYXXyxYXyyxx,1,28492,s20_f4,incomplete_all_existing_solved
ac19_21109,YXYXYx,YYYYYXXyyXyxYYx,1,28495,s20_mk2,incomplete_all_existing_solved
ac19_21110,YXXyx,YYYXyyxyxyXX,6,28497 52295 102552 125747 137242 150047,s20_mk2_mK2,incomplete_all_existing_solved
ac19_21130,YXYXYx,YYYYXXXyXYxYx,2,28529 74423,s20_mk2,incomplete_all_existing_solved
ac19_21135,YXYXYx,YYXXyxyXyyxYx,1,28535,baseline,incomplete_all_existing_solved
ac19_21140,YXXX,YYYYXYxyyyXyxyX,1,28549,baseline,incomplete_all_existing_solved
ac19_2117,YXX,YYYYXYxYXyyXyyX,1,2735,s20_mk2,incomplete_all_existing_solved
ac19_21192,YYXXYx,YYXXYxYxxYXXX,1,28632,s20_mk2,incomplete_all_existing_solved
ac19_2121,YYXXXyx,YYYYXXXXXXyX,1,2739,s20_mk2_mK2,incomplete_all_existing_solved
ac19_21234,YXXyx,YYYYXyxxyyXyyXX,1,28709,s20_mk2,incomplete_all_existing_solved
ac19_21252,YXXyx,YYYYYYXyXyyyyx,2,28744 149665,s20_mk2,incomplete_all_existing_solved
ac19_21254,YYXXyx,YYXYYXYYXXXyx,1,28747,"baseline,s20_mk2,s20_f4",incomplete_all_existing_solved
ac19_21259,YYXXYx,YYXYxxxYYXXXX,1,28755,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_2126,YXXyx,YYYXYYXXXyyXyyXX,2,2744 143721,baseline,incomplete_all_existing_solved
ac19_21264,YYXXXyxx,YYXXyyXYxyx,1,28763,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_21269,YXXYx,YYXyXYXyxyxYx,6,28769 42335 60968 99351 142771 146251,s20_mk2_mK2,incomplete_all_existing_solved
ac19_21271,YXYXyx,YYYXyXXyyxx,8,28771 34824 46847 52223 67473 110575 130291 141695,baseline,incomplete_all_existing_solved
ac19_21274,YYXXX,YYYYXXXyXXyXYx,1,28776,"s20_mk2,s20_f4",incomplete_all_existing_solved
ac19_21276,YXYXX,YYXyXYxxxyyXyx,1,28778,baseline,incomplete_all_existing_solved
ac19_21279,YXXYx,YYYYYXXYxyyxyX,3,28783 61083 101166,"baseline,s20_mk2,s20_mk2_mK2,s20_f4",never_10k
ac19_21281,YXXYx,YYYYYXyXyyXYxx,2,28787 87219,s20_mk2,incomplete_all_existing_solved
ac19_21284,YXXYx,YYYYYXyxYXyXyx,2,28792 118781,baseline,incomplete_all_existing_solved
ac19_21294,YYXXyxx,YYXYXYYxxyx,2,28810 59711,s20_mk2_mK2,incomplete_all_existing_solved
ac19_21301,YXXyx,YYYYXXyxyxxyXX,1,28822,"baseline,s20_f4",incomplete_all_existing_solved
ac19_21331,YXYXX,YYXXyXyyXYYxx,1,28875,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_21339,YXXyx,YYXyXYYxyxyXX,3,28891 140716 142097,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_21351,YYXXX,YYYXyXXyXXXYYx,1,28913,"s20_mk2,s20_f4",incomplete_all_existing_solved
ac19_21356,YXXyx,YYXyxYXXYxyXyx,1,28918,"baseline,s20_mk2",incomplete_all_existing_solved
ac19_21367,YXXYx,YYXYYXyXXYYxx,1,28934,s20_mk2_mK2,incomplete_all_existing_solved
ac19_21375,YXXyx,YYYYXyXyxyxyyyxYx,2,28946 98905,s20_mk2_mK2,incomplete_all_existing_solved
ac19_2139,YYXyxYXyx,YYXXyxxyX,10,2759 3574 62186 79970 93936 122694 126195 133384 149265 150396,"baseline,s20_f4",incomplete_all_existing_solved
ac19_21391,YXXyx,YYXXyXXyxyXX,4,28971 53516 118237 120592,s20_mk2_mK2,incomplete_all_existing_solved
ac19_21399,YXYXYx,YYXYYXXyXYxYx,1,28984,baseline,incomplete_all_existing_solved
ac19_21406,YXXyx,YYYXYXyxyyxxx,4,28994 59146 103177 108405,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_21420,YXXYx,YYYxxYXXyXyyx,2,29022 49704,s20_mk2_mK2,incomplete_all_existing_solved
ac19_21421,YXXyx,YYYXXyyyXYYxyX,1,29024,"s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_21426,YXX,YYYxxyXXyXyxx,1,29030,"baseline,s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_21432,YXYXyx,YYYYXXyXXXYYX,1,29041,s20_mk2_mK2,incomplete_all_existing_solved
ac19_2144,YXXYx,YYXXYxyXyx,10,2764 20700 30013 30270 37435 60768 97860 128565 129283 131366,baseline,incomplete_all_existing_solved
ac19_21442,YXXXyXXyx,YYxxyxYXyx,4,29054 53007 53583 114541,s20_mk2_mK2,incomplete_all_existing_solved
ac19_21446,YXYXXyxYx,YYXXyxYxyX,1,29060,"s20_mk2,s20_mk2_mK2",incomplete_all_existing_solved
ac19_2145,YXXXyxx,YYXyxYXyX,37,2765 4912 7817 7876 15083 15920 19043 20505 23767 24323 25422 34016 41725 49788 50965 52745 55403 80226 94923 100871 101845 103452 105127 108439 112111 112228 115183 116602 117251 120863 132377 135920 139155 145858 145936 146275 147310,s20_mk2_mK2,incomplete_all_existing_solved
ac19_21452,YYXXYx,YYXXXXyxYYxYx,1,29073,baseline,incomplete_all_existing_solved
ac19_21455,YXXyXyxx,YYXXyxYYxxx,2,29077 91571,s20_f4,incomplete_all_existing_solved
ac19_21457,YXXyx,YYXyXXYxyyXyx,3,29080 52709 115024,s20_f4,incomplete_all_existing_solved
ac19_21467,YXXyx,YYYYXyxyXyXyyX,3,29093 135897 153912,s20_mk2_mK2,incomplete_all_existing_solved
ac19_21471,YXXyx,YYXyXYxyXyxYX,5,29098 74442 78186 130416 154809,s20_mk2,incomplete_all_existing_solved
ac19_21485,YYXXyxx,YYXyXYxYXyx,4,29115 37438 90081 129803,s20_mk2_mK2,incomplete_all_existing_solved
ac19_21495,YXXyXYx,YYxxyXyxyx,4,29127 58160 61932 103236,"s20_mk2,s20_mk2_mK2,s20_f4",incomplete_all_existing_solved
ac19_2150,YXXyx,YYXXXYxyXXXyx,3,2771 55771 143198,s20_mk2,incomplete_all_existing_solved
ac19_21500,YXXX,YYYXYXYXyXyyX,2,29134 43696,baseline,incomplete_all_existing_solved
ac19_21515,YYXXyx,YYXXyxxxxxyXX,1,29158,s20_mk2,incomplete_all_existing_solved
ac19_21517,YXYXyx,YYYxxyXXXYXyX,1,29161,baseline,incomplete_all_existing_solved
ac19_21520,YXXyx,YYYXYxyyxyXyyx,3,29167 30670 43103,s20_mk2_mK2,incomplete_all_existing_solved
ac19_21526,YXyXXyx,YYXXyxxxxyX,3,29173 40853 138809,baseline,incomplete_all_existing_solved
ac19_21527,YXXXyxx,YYYXXyXXyXX,3,29174 136975 138193,s20_mk2,incomplete_all_existing_solved
